"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pde4b",533.147044648878,2.69202945134348,0.100653856139255,26.7454179561591,1.39601413124032e-157,3.45682618136646e-156
"Dnajc6",33.0509407692569,-6.94288026913859,0.920854329516935,-7.53960756505397,4.7138784580284e-14,1.97736647855057e-13
"Jak1",10685.9920758209,0.0126705112373767,0.0264890373402201,0.478330377757376,0.632415078368926,0.742518048148665
"Cachd1",613.767370471647,-0.304724493982068,0.0814791625258222,-3.73990704538102,0.000184088318997364,0.000457706708430469
"St3gal3",1247.63973348076,0.163125955555301,0.0648744671730846,2.51448624803472,0.0119205951520882,0.0238687916465892
"Artn",61.0188932529477,1.79015872809078,0.276277824848193,6.47955994685574,9.19905136085709e-11,3.38015150837573e-10
"Dph2",695.465652533905,0.739995020108449,0.0803274672196349,9.21222896378796,3.19421867474234e-20,1.63633658425397e-19
"B4galt2",1356.52851775338,-0.964062272880751,0.061767795761365,-15.6078464675238,6.43734127356899e-55,6.41850027471952e-54
"Slc6a9",2296.90882840723,-0.391002938751421,0.0472526462149753,-8.27473104834294,1.28745891048132e-16,5.94276866008252e-16
"Itgb3bp",379.335508811786,0.0741487159540687,0.109204512105988,0.678989489757566,0.497144521432715,0.621403014225771
"Atg4c",749.356148054735,0.169628309262916,0.0834078630059072,2.03372084057474,0.041979749681768,0.0758130676180619
"Cdkn2c",8599.37045551909,-0.252131487545535,0.0291779744782041,-8.64115799860873,5.56461002923635e-18,2.67453381567658e-17
"Eps15",5000.28016022544,0.303946798180814,0.0346150722120594,8.78076452704678,1.62367160935641e-18,7.92760748420618e-18
"Ttc39a",723.135845124142,-0.0369395269292712,0.0753184982360265,-0.490444283866538,0.623819546807453,0.735074612987724
"Dock7",7315.38005715592,0.0486509336828199,0.0285760987169732,1.70250439588253,0.0886608551307459,0.148189909809671
"Rnf11",8347.39137472981,-0.0916939014150732,0.031574213003139,-2.90407559504199,0.00368339212007012,0.007954796698459
"Calr4",27.6887738806834,3.08295591022665,0.463881845860261,6.64599388344108,3.01177765954291e-11,1.12880161522192e-10
"Osbpl9",5896.22292495829,0.215848808077808,0.0325177562865934,6.63787520194925,3.1823711719518e-11,1.1921431761107e-10
"Usp1",8314.01015319542,0.570514550745759,0.0326950487871004,17.4495702533055,3.46832326578998e-68,4.08281572293308e-67
"Tm2d1",715.95904897876,0.722046263381309,0.0752939833307999,9.58969404247135,8.83466017515426e-22,4.74077564148373e-21
"Nfia",1631.92361161478,-0.019489255065283,0.053838518087869,-0.36199464170754,0.717356034597749,0.806855081635607
"Txndc12",2065.86218861946,-0.497651911947509,0.0474632605140038,-10.4849921088055,1.01254114020907e-25,5.99420089427611e-25
"Btf3l4",2725.75445268171,-0.168825457934282,0.0442740040903506,-3.81319605946996,0.000137181202372957,0.000345086390037321
"Hook1",8.37493896832592,-0.689749224381964,0.729258847156107,-0.94582222357916,0.344239268458241,0.468402064392101
"Fggy",259.494235250582,-0.604981484894342,0.137953123049539,-4.38541347612038,1.15765667919766e-05,3.16998572342956e-05
"Eqtn",2.77168626446964,1.29179832696159,1.26647108064851,1.01999828239276,0.307729275345298,0.427599346570897
"Ift74",1002.47411653027,0.143681801942302,0.063037044255542,2.27932327156456,0.0226478556554767,0.0431501047841487
"Plaa",7429.96734239846,0.779469300484627,0.0293343962965137,26.5718541675686,1.43608009471605e-155,3.52498087877683e-154
"Caap1",948.570204742535,0.897003804935705,0.0677157346697557,13.2466081821355,4.72060407277593e-40,3.75842995652599e-39
"Pum1",6085.67330667262,-0.196703578388979,0.032065587743612,-6.13441362627654,8.54738669822906e-10,2.99158534438017e-09
"Cc2d1b",2672.1023342621,0.205072716879784,0.0439718723840171,4.66372491689309,3.10536430480105e-06,8.86728613527392e-06
"Pdpn",5008.95146456614,0.699109966912791,0.0346474205242867,20.1778359350803,1.53312710492819e-90,2.2648377021817e-89
"Orc1",813.12056448609,0.502589868761864,0.0822357235646652,6.11157593046114,9.86520442580903e-10,3.44317380176793e-09
"Gpx7",1.81578277521813,-0.461508823550759,1.57892079227307,-0.292293841343589,0.770061967214779,0.845826735264147
"Tnfrsf1b",4802.70217950137,0.0705691116698085,0.0356327143953812,1.98045848785957,0.0476520334852311,0.0850594094063144
"Podn",544.452172367134,-1.25810910122099,0.188803922701868,-6.66357501060833,2.67245546907951e-11,1.00413584169091e-10
"Echdc2",1448.82513948897,-0.839821025277395,0.0596232624622447,-14.0854591076628,4.66616421816675e-45,4.03515524158697e-44
"Tnfrsf8",7.16696702394919,0.175243778488971,0.720807234197533,0.243121558961694,0.807911230545445,0.872985203171078
"Scp2",4804.63083454053,-0.133303683980521,0.0341252388200511,-3.90630772383623,9.37171509471979e-05,0.000239012752030036
"Cpt2",2066.41349723729,0.278111077660603,0.0496797928836186,5.59807240565825,2.16748231420763e-08,7.06797278501005e-08
"Czib",1279.05974949331,0.304092132829471,0.0598023361350098,5.08495407508751,3.67715033076039e-07,1.11740840703901e-06
"Magoh",2032.98138233631,0.384090319196587,0.0517888387978962,7.41646903294131,1.20283988952123e-13,4.97784871636212e-13
"Ndc1",5017.18574365473,0.699078181361159,0.0423876441998365,16.4924990420642,4.15406792259403e-61,4.47747186824565e-60
"Lrrc42",1918.56173862881,0.418412803792968,0.0473766251887581,8.83162956681541,1.03161605830466e-18,5.06216836641687e-18
"Tmem59",8332.35167744264,-0.110801962768024,0.0331408486497646,-3.34336528128742,0.000827688711248998,0.00193247694535021
"Tceanc2",910.631662210282,0.441637984515963,0.0672909236350989,6.56311372557241,5.26956259528942e-11,1.95739047402094e-10
"Cyb5rl",132.75382416563,0.307199579489265,0.183748977201654,1.67184375209953,0.0945551367507017,0.156759894905086
"Mrpl37",2296.13770943346,0.320550547723618,0.0463298770252532,6.91887326937852,4.55249885427564e-12,1.76754246657803e-11
"Col9a2",1.30709519768962,0.188544227929214,1.72374440231547,0.109380617959337,0.912900606129748,0.943364629409685
"Exo5",1058.85450449239,-0.37030344124384,0.0633502040952881,-5.84533935655279,5.05536593867388e-09,1.70976004460204e-08
"Kcnq4",11.4498900731278,3.87736744893155,0.826417727888706,4.69177671059558,2.70842635414617e-06,7.76341893761122e-06
"Ctps",8538.91545135023,-0.097722593044788,0.0270457047753448,-3.61323891747399,0.000302395828000036,0.000737266080758274
"Hivep3",775.085316009135,-1.42381890561397,0.0787705286535182,-18.0755281188579,4.96774221915754e-73,6.15737133712999e-72
"Edn2",643.051117296441,4.01795031982822,0.115006957677956,34.9365847158511,2.070107417931e-267,9.09068265327354e-266
"Ppcs",471.320941622281,0.236808322010841,0.0931475222910969,2.54229330191722,0.0110127716715737,0.0221913567183781
"Ybx1",34206.0436008592,0.00309989690410062,0.0239094323058114,0.129651631391815,0.896842052011455,0.932855139592226
"P3h1",5061.81231161127,-0.7226570107397,0.0345017380688551,-20.9455248108804,2.06115461120764e-97,3.26129488236401e-96
"Tmem269",5.34162047866045,0.891425274288313,0.905439539768873,0.984522141054125,0.324858850530685,0.44659898473445
"Svbp",567.436329319614,-0.845848831168467,0.0857013142516867,-9.86972998668827,5.63159992512051e-23,3.1133733148859e-22
"Ermap",1.47167943622054,-0.454120669229364,3.88377405554736,-0.116927674662413,0.906917367365763,0.939380013705646
"Slc2a1",5716.64737723524,0.0873315499940277,0.070658962075411,1.23595857381577,0.216473962617508,0.321649522567542
"Rragc",4655.46952133278,0.101070077681632,0.0336332207175774,3.00506688105582,0.00265522457305628,0.00584378125495277
"Mycbp",694.226739065214,0.191733897186867,0.0767064271123137,2.49958060106397,0.0124340410628417,0.0248107010345166
"Ndufs5",1566.84048375038,-0.157561070732111,0.0602806747096486,-2.61379076281129,0.00895438555718478,0.018287801332341
