"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Ppfibp1",-0.399571351176349,9.49883511365679,-22.6542597311992,2.41753583166028e-12,2.00522706519849e-11,17.9818506877037,"stable"
"Acsbg1",1.14883105583335,4.20357758651905,22.6449642493334,2.43097712450144e-12,2.01515980694498e-11,17.9759495756649,"up"
"Emp3",0.620693764869025,6.68578220478809,22.6383017858085,2.44066026873898e-12,2.02196713282391e-11,17.9717185715041,"up"
"Msh3",-0.847833098607962,5.32722215214126,-22.6282609243041,2.45533161193123e-12,2.03289624544475e-11,17.9653398572869,"down"
"Papss2",-2.63797014465773,1.91587799509786,-22.6229145465606,2.46318203448972e-12,2.03816820481798e-11,17.9619423272468,"down"
"Dazap2",0.429832831837368,8.34525401170494,22.5977699418737,2.50046545825612e-12,2.06777360158075e-11,17.9459530425932,"stable"
"Tiparp",-0.693434327729115,6.16627627473131,-22.5910836317249,2.51048100307154e-12,2.07480763116147e-11,17.941698393707,"down"
"Myadm",0.555013507647344,7.33468631158401,22.5864619716166,2.51742896468552e-12,2.07929950063929e-11,17.9387568226117,"stable"
"Ccl7",-4.58226098278465,1.01674936404921,-22.5783460696527,2.52967984246322e-12,2.08816334863751e-11,17.9335898581527,"down"
"Pnpt1",0.785542983934246,5.75008288210514,22.5678116404619,2.54567672022896e-12,2.09950894992952e-11,17.9268804912281,"up"
"Actn3",-2.28101695445835,3.25485277749138,-22.5672848566826,2.54647949616742e-12,2.09950894992952e-11,17.9265449044259,"down"
"Selenon",-0.621171290641398,6.38386349051496,-22.5587794171541,2.55947867530889e-12,2.10896132574613e-11,17.921125488158,"down"
"Ikbip",-0.761006636076572,5.98675064895797,-22.5512481210357,2.57104833352326e-12,2.11722518250112e-11,17.9163251332602,"down"
"Grina",-0.661274275486918,7.9949317353741,-22.5452269655451,2.58033836331822e-12,2.12360302188297e-11,17.91248621852,"down"
"Rdh11",0.826383511485997,5.38246085987252,22.5355527000406,2.5953400929177e-12,2.13467110933937e-11,17.9063161293671,"up"
"Aff1",0.490641650972598,7.59992798467206,22.527971420908,2.60716150141964e-12,2.14311170308083e-11,17.9014791395191,"stable"
"Kif2c",0.581893526891206,6.28639855946188,22.5178726819224,2.62299795622459e-12,2.15484064018833e-11,17.8950335437508,"stable"
